HISTORIQUE,fr,en
SIGNE_12_DESCRIPTION,"Dernier signe du zodiaque (le plus détaché de la matière), il incarne l'hypersensibilité et la capacité à ressentir les émotions des autres. Les Poissons sont souvent très créatifs et imaginatifs. Leur maître, Neptune, est d'ailleurs la planète des artistes et des médiums. Ainsi, ils recherchent la connexion et la fusion avec quelque chose de plus grand, au risque d'y perdre leur individualité et d'y fuir la réalité concrète des choses. Les Poissons sont rêveurs et spirituels. Ils peuvent être un peu mystérieux et parfois difficiles à comprendre en raison de leur nature complexe. Ils communiquent plus par le biais de leurs ressentis que par leur parole.","Pisces are the last sign of the zodiac  and the most detached from matter. They embody hypersensitivity and ability to feel other people's emotions. Pisces are very creative and imaginative. Their master, Neptune, is the planet of artists and mediums. Thus, they seek connection and fusion with something greater, at the risk of losing their individuality and fleeing the concrete reality of things. Pisces are dreamers and spiritual. They can be a bit mysterious and sometimes hard to understand because of their complex nature. They communicate more through their feelings than through their words."
MAISONS_00_DESCRIPTION,Les cartes Maisons font référence aux maisons astrologiques. Elles indiquent le domaine concerné par les cartes précédemment tirées.,The Houses cards refer to astrological houses. They indicate the area covered by the previously drawn cards.
MAISONS_01_TITRE,1° MAISON,1st HOUSE
MAISONS_01_MOTS_CLES,"Identité
Apparence
Affirmation de soi
Corps","Identity
Appearance
Self-affirmation
Body"
MAISONS_01_DESCRIPTION,"On l'appelle aussi l'Ascendant. C'est le domaine de la personnalité extérieure (celle que l'on montre aux autres) et de l'image de soi, y compris physique. Elle influence la façon dont on se présente au monde et comment les autres nous perçoivent. On y trouve tout ce qui a trait au corps. ","Also called the Ascendant, it's the domain of outer personality (the one we show to the others) and self-image, including physical. It influences how we present ourselves to the world and how others perceive us. It contains everything related to our body. "
MAISONS_02_TITRE,2° MAISON,2nd HOUSE
MAISONS_02_MOTS_CLES,"Possessions
Valeurs 
 Dons","Possessions
Values
 Gifts"
MAISONS_02_DESCRIPTION,"La 2° Maison représente tout ce qui a de la valeur pour nous. On y trouve ainsi les biens matériels, les possessions, la façon de produire et gérer des revenus, mais aussi nos valeurs morales ainsi que nos dons.","The 2nd House represents everything that is valuable to us. It includes material possessions, the way we produce and manage income, but also our moral values and gifts."
MAISONS_03_TITRE,3° MAISON,3rd HOUSE
MAISONS_03_MOTS_CLES,"Communication
Intellect
Fratrie
Education","Communication
Intellect
Sibling
Education"
MAISONS_03_DESCRIPTION,"La 3° Maison nous parle de notre façon de penser, de notre mental, de notre capacité d'analyse. Elle touche à la communication, à l'expression sous toutes ses formes, et à l'école. C'est aussi là que se trouve notre rapport avec l'entourage proche, notamment les 
frères et sœurs.","The 3rd House talks about our way of thinking, our mind and our analytical capacity. It's about communication, expression in all its forms and school. This is also where we find our relationship with the immediate entourage, especially brothers and sisters."
MAISONS_04_TITRE,4° MAISON,4th HOUSE
MAISONS_04_MOTS_CLES,"Foyer
Racines
Intimité","Home
Roots
Privacy"
MAISONS_04_DESCRIPTION,"La 4° maison nous parle de notre foyer, de notre famille et de nos racines. Elle représente notre besoin de sécurité émotionnelle ainsi que la façon dont notre passé influence notre vie. Elle évoque également notre lieu de vie et ce dont nous avons besoin pour nous sentir comme dans un nid.","The 4th House tells us about our home, family and roots. It represents our need for emotional security and how our past influences our life. It also refers to our living place and what we need to make it a nest."
MAISONS_05_TITRE,5° MAISON,5th HOUSE
MAISONS_05_MOTS_CLES,"Créativité
Amour
Plaisir
Enfants","Creativity
Love
Pleasure
Children"
MAISONS_05_DESCRIPTION,"La 5° Maison a trait à tout ce qui touche à la notion de plaisir dans notre vie : les passions, la joie, l'amour naissant ou passager, la façon de se divertir. En lien avec les enfants (ou l'enfant intérieur), elle nous parle de notre créativité et de notre capacité à nous émerveiller.","The 5th House is about that comes to pleasure: passions, joy, young or ephemeral love and the way we have fun. Related to childhood (or the inner child), it tells us about our creativity and our ability to marvel."
MAISONS_06_TITRE,6° MAISON,6th HOUSE
MAISONS_06_MOTS_CLES,"Travail
Santé et  hygiène de vie
Service
Habitudes","Work
Health and Lifestyle
Service
Habits"
MAISONS_06_DESCRIPTION,"La 6° Maison est le domaine du quotidien, de nos routines et habitudes. C'est pourquoi on y trouve le travail «  alimentaire  », celui qu'on accomplit tous les jours mais qui n'est pas forcément une vocation, mais aussi l'ambiance au travail, comment s'y déroule nos 
journées. La 6° Maison nous parle aussi de notre hygiène de vie, de notre santé et de notre manière de rendre service.","The 6th House is the field of daily life, routines and habits. That’s why we find there the veryday job that is not necessarily a vocation, but also the atmosphere at work, how our days unfold. The 6th House also talks about our lifestyle, health and how we help others."
MAISONS_07_TITRE,7° MAISON,7th HOUSE
MAISONS_07_MOTS_CLES,"Partenariats
Mariage/Divorce
Contrat","Partnerships
Marriage/Divorce
Contract"
MAISONS_07_DESCRIPTION,"La 7° Maison représente les partenariats, la façon de se lier aux autres de façon positive ou négative. C'est pourquoi elle est considérée comme la maison du mariage (et du divorce...). Elle nous parle également des contrats et de tout ce qui touche à la justice.","The 7th House represents partnerships, how we connect with others in a positive or negative way. That's why it is considered the house of marriage (and divorce...). It also talks about contracts and everything that's related to justice."
MAISONS_08_TITRE,8° MAISON,8th HOUSE
MAISONS_08_MOTS_CLES,"Transformation
Héritage
Mort
Sexualité","Transformation
Heritage
Death
Sexuality"
MAISONS_08_DESCRIPTION,"La 8° Maison a trait à la mort et aux grandes transformations. Elle nous indique ce qui doit prendre fin, ce dont on doit se défaire. C'est pourquoi elle est souvent associée à des périodes de crises. Elle est fortement liée au monde de l'inconscient, aux tabous, à nos zones d'ombre, mais aussi à la sexualité. ","The 8th house is about death and great transformations. It tells us what must end, what we must get rid of. This is why it is often associated with periods of crisis. It is strongly linked to the world of the unconscious, to taboos, to our dark zones, but also to sexuality. "
MAISONS_09_TITRE,9° MAISON,9th HOUSE
MAISONS_09_MOTS_CLES,"Philosophie
Voyage
Foi
Enseignement supérieur","Philosophy
Travel
Faith
Higher education"
MAISONS_09_DESCRIPTION,"Dans la 9° Maison, on trouve notre conception de la vie au sens large: idéaux, philosophie, religion, spiritualité... Elle nous parle également de voyage (qu'il soit physique ou intérieur), de tout ce qui est étranger, de ce que l'on peut apprendre ou enseigner. C'est le domaine de l'université et des études poussées.","In the 9th House, we find our conception of life in a broad sense: ideals, philosophy, religion, faith... It also tells us about journey (whether physical or inner), about everything that is foreign, about what we can learn or teach. This is the field of university and extensive studies."
MAISONS_10_TITRE,10° MAISON,10th HOUSE
MAISONS_10_MOTS_CLES,"Carrière
Réputation
Ambition
Reconnaissance sociale","Career
Reputation
Ambition
Social recognition"
MAISONS_10_DESCRIPTION,"Egalement appelée « Milieu du Ciel », la 10° Maison est le secteur de la carrière par excellence. Elle nous parle donc de notre vocation, de notre ambition, mais aussi de notre réputation. On y trouve notre façon d'envisager notre statut social et de réaliser nos objectifs à long terme.","Also known as Midheaven, the 10th House is the ultimate career area. It's about our vocation, our ambition, but also our reputation. It is how we consider our social status and achieve our long-term goals."
MAISONS_11_TITRE,11° MAISON,11th HOUSE
MAISONS_11_MOTS_CLES," Amis
Réseaux 
Projets
Idéaux"," Friends
Networks 
Projects
Ideals"
MAISONS_11_DESCRIPTION,"La 11° Maison évoque notre vie sociale: les amis et la façon dont on se lie à eux, la communauté, les associations, les clubs, mais aussi les projets. Elle est résolument tournée vers l'extérieur et vers l'avenir. On y trouve également notre façon de nous engager (ou pas) pour les autres, pour améliorer le monde, pour construire des lendemains plus radieux.","The 11th Maison evokes our social life: friends and the way we bond with them, community, associations, clubs, but also projects. It is firmly outward-looking and forward-looking. It also shows how we can be (or not) committed to others, to making the world a better place, to building a brighter future."
MAISONS_12_TITRE,12° MAISON,12th HOUSE
MAISONS_12_MOTS_CLES," Vie intérieure
Psychologie
Epreuves"," Inner life
Psychology
Life's trials"
MAISONS_12_DESCRIPTION,"Contrairement à la 1° Maison qui évoque ce l'on montre de soi aux autres, la 12° Maison nous parle de ce que l'on garde en soi. C'est notre vie intérieure, nos rêves mais aussi nos peurs et ce qui nous embrouille. On y trouve les épreuves que l'on rencontre, les moments où on se replie sur soi, parfois les hospitalisations ou les enfermements.","Unlike the 1st House, which evokes what we show to others, the 12th House tells us about what we keep within. It is our inner life, our dreams but also our fears and what makes us confused. We find there the trials that we encounter, the moments where we withdraw into ourselves, sometimes it can also be hospitalization or confinement."
